time x y azimuth
0.00 1.50 0.07 2.86
0.10 2.99 0.22 5.73
0.20 4.47 0.45 8.59
0.30 5.94 0.75 11.46
0.40 7.40 1.12 14.32
0.50 8.83 1.56 17.19
0.60 10.24 2.08 20.05
0.70 11.62 2.66 22.92
0.80 12.97 3.31 25.78
0.90 14.29 4.03 28.65
1.00 15.57 4.82 31.51
1.10 16.80 5.66 34.38
1.20 18.00 6.57 37.24
1.30 19.15 7.54 40.11
1.40 20.24 8.56 42.97
1.50 21.29 9.63 45.84
1.60 22.28 10.76 48.70
1.70 23.21 11.94 51.57
1.80 24.08 13.16 54.43
1.90 24.89 14.42 57.30
2.00 25.64 15.72 60.16
2.10 26.32 17.06 63.03
2.20 26.93 18.43 65.89
2.30 27.48 19.82 68.75
2.40 27.95 21.25 71.62
2.50 28.35 22.69 74.48
2.60 28.68 24.16 77.35
2.70 28.93 25.63 80.21
2.80 29.12 27.12 83.08
2.90 29.22 28.62 85.94
3.00 29.27 30.12 87.97
3.10 29.33 31.62 87.97
3.20 29.38 33.12 87.97
3.30 29.43 34.62 87.97
3.40 29.49 36.12 87.97
3.50 29.54 37.61 87.97
3.60 29.59 39.11 87.97
3.70 29.65 40.61 87.97
3.80 29.70 42.11 87.97
3.90 29.75 43.61 87.97
4.00 29.81 45.11 87.97
4.20 30.06 48.14 93.55
4.30 30.00 49.64 90.69
4.40 30.02 51.14 87.83
4.50 30.12 52.64 84.96
4.60 30.29 54.13 82.10
4.70 30.53 55.61 79.23
4.80 30.85 57.07 76.37
4.90 31.24 58.52 73.50
5.00 31.70 59.95 70.64
5.10 32.23 61.35 67.77
5.20 32.83 62.72 64.91
5.30 33.50 64.06 62.04
5.40 34.24 65.37 59.18
5.50 35.04 66.64 56.31
5.60 35.90 67.87 53.45
5.70 36.82 69.05 50.58
5.80 37.80 70.18 47.72
5.90 38.84 71.27 44.85
6.00 39.93 72.30 41.99
6.10 41.07 73.27 39.12
6.20 42.26 74.19 36.26
6.30 43.49 75.05 33.39
6.40 44.76 75.84 30.53
6.50 46.07 76.57 27.66
6.60 47.42 77.23 24.80
6.70 48.79 77.83 21.94
6.80 50.20 78.35 19.07
6.90 51.63 78.81 16.21
7.00 53.08 79.19 13.34
7.10 54.55 79.50 10.48
7.20 56.03 79.74 7.61
7.30 57.52 79.90 4.75
7.40 59.01 79.98 1.88
7.50 60.51 80.00 -0.98
7.60 62.01 79.93 -3.85
7.70 63.51 79.79 -6.71
7.80 64.99 79.58 -9.58
7.90 66.46 79.30 -12.44
8.00 67.92 78.94 -15.31
8.10 69.36 78.50 -18.17
8.20 70.77 78.00 -21.04
8.30 72.15 77.43 -23.90
8.40 73.51 76.79 -26.77
8.50 74.83 76.08 -29.63
8.60 76.12 75.30 -32.50
8.70 77.36 74.47 -35.36
8.80 78.56 73.57 -38.23
8.90 79.72 72.61 -41.09
9.00 80.82 71.60 -43.95
9.10 81.88 70.53 -46.82
9.20 82.87 69.41 -49.68
9.30 83.82 68.24 -52.55
9.40 84.70 67.03 -55.41
9.50 85.52 65.77 -58.28
9.60 86.27 64.48 -61.14
9.70 86.97 63.15 -64.01
9.80 87.59 61.78 -66.87
9.90 88.14 60.39 -69.74
10.00 88.63 58.97 -72.60
10.10 89.15 57.56 290.26
10.20 89.74 56.18 293.13
10.30 90.39 54.83 295.99
10.40 91.12 53.52 298.86
10.50 91.91 52.25 301.72
10.60 92.76 51.01 304.59
10.70 93.67 49.82 307.45
10.80 94.64 48.68 310.32
10.90 95.67 47.58 313.18
11.00 96.75 46.54 316.05
11.10 97.88 45.55 318.91
11.20 99.06 44.63 321.77
11.30 100.28 43.76 324.64
11.40 101.54 42.95 327.50
11.50 102.85 42.21 330.37
11.60 104.19 41.54 333.23
11.70 105.56 40.93 336.10
11.80 106.96 40.39 338.96
11.90 108.38 39.92 341.83
12.00 109.83 39.53 344.69
12.10 111.30 39.20 347.56
12.20 112.77 38.95 350.42
12.30 114.26 38.78 353.29
12.40 115.76 38.68 356.15
12.50 117.26 38.65 359.02
12.60 118.76 38.70 1.88
12.70 120.25 38.82 4.75
